"product_name","product_url","product_in_stock","product_price","product_price_url"
"Philips Hue White A19 LED Smart Bulb, Bluetooth & Zigbee compatible (Hue Hub Optional), Works with Alexa & Google Assistant – A Certified for Humans Device","https://www.amazon.com/Philips-Hue-Bluetooth-compatible-Assistant/dp/B07QV9XLTK/ref=sxin_0_ac_d_rm?ac_md=0-0-c21hcnQgbGlnaHQ%3D-ac_d_rm&cv_ct_cx=smart+light&keywords=smart+light&pd_rd_i=B07QV9XLTK&pd_rd_r=a9f617ce-06d3-4554-8b2b-b4f35e65d361&pd_rd_w=bbrog&pd_rd_wg=WD5rl&pf_rd_p=de19e82a-2d83-4ae8-9f5c-212586b8b9a0&pf_rd_r=55W7ZPCRHZBQYAXK4YQC&psc=1&qid=1581477706&sr=1-1-12d4272d-8adb-4121-8624-135149aa9081","In Stock.","",""
"Amazon Smart Plug, works with Alexa – A Certified for Humans Device","https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/dp/B01MZEEFNX/ref=sxin_0_ac_d_rm?ac_md=2-1-c21hcnQgcGx1Zw%3D%3D-ac_d_rm&cv_ct_cx=smart+light&keywords=smart+light&pd_rd_i=B01MZEEFNX&pd_rd_r=a9f617ce-06d3-4554-8b2b-b4f35e65d361&pd_rd_w=bbrog&pd_rd_wg=WD5rl&pf_rd_p=de19e82a-2d83-4ae8-9f5c-212586b8b9a0&pf_rd_r=55W7ZPCRHZBQYAXK4YQC&psc=1&qid=1581477706&sr=1-2-12d4272d-8adb-4121-8624-135149aa9081","In Stock.","",""
"Sengled Smart LED Multicolor A19 Starter Kit, 60W Equivalent, 2 Smart Light Bulbs & Hub, RGBW Color and Tunable White 2000-6500K, Works with Alexa & Google Assistant","https://www.amazon.com/Sengled-Multicolor-2000-6500K-Equivalent-Assistant/dp/B079ZLHQM9/ref=sxin_0_ac_d_rm?ac_md=3-2-c2VuZ2xlZA%3D%3D-ac_d_rm&cv_ct_cx=smart+light&keywords=smart+light&pd_rd_i=B079ZLHQM9&pd_rd_r=a9f617ce-06d3-4554-8b2b-b4f35e65d361&pd_rd_w=bbrog&pd_rd_wg=WD5rl&pf_rd_p=de19e82a-2d83-4ae8-9f5c-212586b8b9a0&pf_rd_r=55W7ZPCRHZBQYAXK4YQC&psc=1&qid=1581477706&sr=1-3-12d4272d-8adb-4121-8624-135149aa9081","In Stock.","",""
"Kasa Smart Light Switch by TP-Link – Needs Neutral Wire, WiFi Light Switch, Works with Alexa & Google (HS200) White 1-Pack","https://www.amazon.com/Kasa-Smart-Light-Switch-TP-Link/dp/B01EZV35QU/ref=sxin_0_ac_d_rm?ac_md=4-3-c21hcnQgbGlnaHQgc3dpdGNo-ac_d_rm&cv_ct_cx=smart+light&keywords=smart+light&pd_rd_i=B01EZV35QU&pd_rd_r=a9f617ce-06d3-4554-8b2b-b4f35e65d361&pd_rd_w=bbrog&pd_rd_wg=WD5rl&pf_rd_p=de19e82a-2d83-4ae8-9f5c-212586b8b9a0&pf_rd_r=55W7ZPCRHZBQYAXK4YQC&psc=1&qid=1581477706&sr=1-4-12d4272d-8adb-4121-8624-135149aa9081","In Stock.","",""
"Smart LED Light Bulb 2.4G(Not 5G) E26 WiFi Multicolor Light Bulb Work with Alexa,Siri, Echo, Google Home and IFTTT (No Hub Required), A19 60W Equivalent RGB Color Changing Bulb (4 Pack)","https://www.amazon.com/Multicolor-Google-Required-Equivalent-Changing/dp/B07QYMPT6W/ref=sr_1_1?keywords=smart+light&qid=1581477706&sr=8-1","In Stock.","$39.99","https://www.amazon.com/Multicolor-Google-Required-Equivalent-Changing/dp/B07QYMPT6W/ref=sr_1_1?keywords=smart+light&qid=1581477706&sr=8-1"
"Govee Smart WiFi LED Strip Lights Works with Alexa, Google Home Brighter 5050 LED, 16 Million Colors Phone App Controlled Music Light Strip for Home, Kitchen, TV, Party, for iOS and Android, 16.4ft","https://www.amazon.com/Govee-Brighter-Million-Controlled-Kitchen/dp/B07N1CMGQQ/ref=sr_1_2?keywords=smart+light&qid=1581477706&smid=A2KZ7X05DCDJDL&sr=8-2","In Stock.","$43.99","https://www.amazon.com/Govee-Brighter-Million-Controlled-Kitchen/dp/B07N1CMGQQ/ref=sr_1_2?keywords=smart+light&qid=1581477706&smid=A2KZ7X05DCDJDL&sr=8-2"
"Smart LED Light Bulb 2.4G(Not 5G) E26 WiFi Multicolor Light Bulb Work with Siri,Alexa, Echo, Google Home and IFTTT (No Hub Required), Peteme A19 60W Equivalent RGB Color Changing Bulb (2 Pack)","https://www.amazon.com/Multicolor-Required-Peteme-Equivalent-Changing/dp/B07MKDLV1V/ref=sr_1_3?keywords=smart+light&qid=1581477706&sr=8-3","In Stock.","$20.99","https://www.amazon.com/Multicolor-Required-Peteme-Equivalent-Changing/dp/B07MKDLV1V/ref=sr_1_3?keywords=smart+light&qid=1581477706&sr=8-3"
"Smart WiFi Light Bulb with Soft White Light, TECKIN 16 Million RGB Color Changing LED Bulb That Work with Alexa, Google Home (No Hub Required), 7.5W (60w Equivalent),4 Pack","https://www.amazon.com/Multicolor-Compatible-Required-TECKIN-Equivalent/dp/B07GT3RXM6/ref=sr_1_4?keywords=smart+light&qid=1581477706&sr=8-4","In Stock.","$39.99","https://www.amazon.com/Multicolor-Compatible-Required-TECKIN-Equivalent/dp/B07GT3RXM6/ref=sr_1_4?keywords=smart+light&qid=1581477706&sr=8-4"
"BERENNIS Smart Light Bulb, A19 E26 RGBCW WiFi Dimmable Multicolor LED Lights, Compatible with Alexa, Google Home and IFTTT (No Hub Required) 7W (60w Equivalent) 3 Pack","https://www.amazon.com/BERENNIS-Dimmable-Multicolored-Required-Compatible/dp/B07GGWNQT7/ref=sr_1_5?keywords=smart+light&qid=1581477706&sr=8-5","In Stock.","$38.99","https://www.amazon.com/BERENNIS-Dimmable-Multicolored-Required-Compatible/dp/B07GGWNQT7/ref=sr_1_5?keywords=smart+light&qid=1581477706&sr=8-5"
"Smart WiFi Light Bulb, LED RGB Color Changing, Compatible with Alexa and Google Home Assistant, No Hub Required, A19 E26 Multicolor LUMIMAN 2 Pack","https://www.amazon.com/Changing-Compatible-Assistant-Multicolor-LUMIMAN/dp/B07DLSNNDS/ref=sr_1_6?keywords=smart+light&qid=1581477706&sr=8-6","In Stock.","$22.99","https://www.amazon.com/Changing-Compatible-Assistant-Multicolor-LUMIMAN/dp/B07DLSNNDS/ref=sr_1_6?keywords=smart+light&qid=1581477706&sr=8-6"
